(0,i,1)
(0,r,2)
(0,E,3)
(0,P,4)
(1,d,-24)
(2,d,-23)
(3,d,5)
(4,#,0)
(5,(,6)
(6,),7)
(6,d,8)
(6,i,1)
(6,r,2)
(6,E,9)
(6,F,10)
(7,{,11)
(7,B,12)
(8,=,13)
(8,[,14)
(9,d,15)
(10,),16)
(10,`,17)
(11,},-5)
(11,a,18)
(11,d,19)
(11,e,20)
(11,f,21)
(11,i,1)
(11,r,2)
(11,t,22)
(11,w,23)
(11,A,24)
(11,C,25)
(11,E,26)
(11,F,27)
(11,I,28)
(11,L,29)
(11,T,30)
(11,W,31)
(12,#,-3)
(12,i,1)
(12,r,2)
(12,E,3)
(12,P,32)
(13,(,33)
(13,d,34)
(13,n,35)
(13,G,36)
(13,R,37)
(13,X,38)
(14,(,39)
(14,d,40)
(14,n,41)
(14,G,42)
(14,R,43)
(14,X,44)
(15,),-14)
(15,`,-14)
(15,=,45)
(15,[,46)
(16,{,11)
(16,B,47)
(17,d,8)
(17,i,1)
(17,r,2)
(17,E,9)
(17,F,48)
(18,(,49)
(18,d,50)
(18,n,51)
(18,G,52)
(18,R,53)
(18,X,54)
(19,=,55)
(19,[,56)
(20,(,57)
(21,(,58)
(22,(,59)
(23,(,60)
(24,a,-10)
(24,d,-10)
(24,e,-10)
(24,f,-10)
(24,i,-10)
(24,r,-10)
(24,t,-10)
(24,w,-10)
(24,},-10)
(25,},61)
(26,d,62)
(27,;,63)
(27,`,64)
(28,a,-9)
(28,d,-9)
(28,e,-9)
(28,f,-9)
(28,i,-9)
(28,r,-9)
(28,t,-9)
(28,w,-9)
(28,},-9)
(29,},-5)
(29,a,18)
(29,d,19)
(29,e,20)
(29,f,21)
(29,i,1)
(29,r,2)
(29,t,22)
(29,w,23)
(29,A,24)
(29,C,65)
(29,E,26)
(29,F,27)
(29,I,28)
(29,L,29)
(29,T,30)
(29,W,31)
(30,;,66)
(31,;,67)
(32,#,-1)
(33,(,68)
(33,d,69)
(33,n,70)
(33,G,71)
(33,R,72)
(33,X,73)
(34,),-38)
(34,`,-38)
(34,*,-38)
(34,/,-38)
(34,+,-38)
(34,-,-38)
(34,(,74)
(34,[,75)
(35,),-39)
(35,`,-39)
(35,*,-39)
(35,/,-39)
(35,+,-39)
(35,-,-39)
(36,),-31)
(36,`,-31)
(36,+,-31)
(36,-,-31)
(36,*,76)
(36,/,77)
(37,),-35)
(37,`,-35)
(37,*,-35)
(37,/,-35)
(37,+,-35)
(37,-,-35)
(38,),-21)
(38,`,-21)
(38,+,78)
(38,-,79)
(39,(,68)
(39,d,69)
(39,n,70)
(39,G,71)
(39,R,72)
(39,X,80)
(40,],-38)
(40,*,-38)
(40,/,-38)
(40,+,-38)
(40,-,-38)
(40,(,81)
(40,[,82)
(41,],-39)
(41,*,-39)
(41,/,-39)
(41,+,-39)
(41,-,-39)
(42,],-31)
(42,+,-31)
(42,-,-31)
(42,*,83)
(42,/,84)
(43,],-35)
(43,*,-35)
(43,/,-35)
(43,+,-35)
(43,-,-35)
(44,+,85)
(44,-,86)
(44,],87)
(45,(,33)
(45,d,34)
(45,n,35)
(45,G,36)
(45,R,37)
(45,X,88)
(46,n,89)
(47,#,-3)
(47,i,1)
(47,r,2)
(47,E,3)
(47,P,90)
(48,),-22)
(48,`,-22)
(48,`,17)
(49,(,68)
(49,d,69)
(49,n,70)
(49,G,71)
(49,R,72)
(49,X,91)
(50,;,-38)
(50,*,-38)
(50,/,-38)
(50,+,-38)
(50,-,-38)
(50,(,92)
(50,[,93)
(51,;,-39)
(51,*,-39)
(51,/,-39)
(51,+,-39)
(51,-,-39)
(52,;,-31)
(52,+,-31)
(52,-,-31)
(52,*,94)
(52,/,95)
(53,;,-35)
(53,*,-35)
(53,/,-35)
(53,+,-35)
(53,-,-35)
(54,+,96)
(54,-,97)
(54,;,98)
(55,(,99)
(55,d,100)
(55,n,101)
(55,G,102)
(55,R,103)
(55,X,104)
(56,(,39)
(56,d,40)
(56,n,41)
(56,G,42)
(56,R,43)
(56,X,105)
(57,(,68)
(57,d,69)
(57,n,70)
(57,G,71)
(57,R,72)
(57,X,106)
(58,(,107)
(58,d,108)
(58,n,109)
(58,G,110)
(58,O,111)
(58,R,112)
(58,X,113)
(59,(,68)
(59,d,69)
(59,n,70)
(59,G,71)
(59,R,72)
(59,X,114)
(60,(,-28)
(60,d,-28)
(60,n,-28)
(60,M,115)
(61,i,-4)
(61,r,-4)
(61,#,-4)
(62,;,-14)
(62,`,-14)
(62,=,116)
(62,[,117)
(63,a,-7)
(63,d,-7)
(63,e,-7)
(63,f,-7)
(63,i,-7)
(63,r,-7)
(63,t,-7)
(63,w,-7)
(63,},-7)
(64,d,19)
(64,i,1)
(64,r,2)
(64,E,26)
(64,F,118)
(65,},-6)
(66,a,-12)
(66,d,-12)
(66,e,-12)
(66,f,-12)
(66,i,-12)
(66,r,-12)
(66,t,-12)
(66,w,-12)
(66,},-12)
(67,a,-11)
(67,d,-11)
(67,e,-11)
(67,f,-11)
(67,i,-11)
(67,r,-11)
(67,t,-11)
(67,w,-11)
(67,},-11)
(68,(,68)
(68,d,69)
(68,n,70)
(68,G,71)
(68,R,72)
(68,X,119)
(69,),-38)
(69,*,-38)
(69,/,-38)
(69,+,-38)
(69,-,-38)
(69,(,120)
(69,[,121)
(70,),-39)
(70,*,-39)
(70,/,-39)
(70,+,-39)
(70,-,-39)
(71,),-31)
(71,+,-31)
(71,-,-31)
(71,*,122)
(71,/,123)
(72,),-35)
(72,*,-35)
(72,/,-35)
(72,+,-35)
(72,-,-35)
(73,),124)
(73,+,125)
(73,-,126)
(74,p,127)
(75,(,39)
(75,d,40)
(75,n,41)
(75,G,42)
(75,R,43)
(75,X,128)
(76,(,33)
(76,d,129)
(76,n,35)
(76,R,130)
(77,(,33)
(77,d,129)
(77,n,35)
(77,R,131)
(78,(,33)
(78,d,129)
(78,n,35)
(78,G,132)
(78,R,37)
(79,(,33)
(79,d,129)
(79,n,35)
(79,G,133)
(79,R,37)
(80,),134)
(80,+,125)
(80,-,126)
(81,p,135)
(82,(,39)
(82,d,40)
(82,n,41)
(82,G,42)
(82,R,43)
(82,X,136)
(83,(,39)
(83,d,137)
(83,n,41)
(83,R,138)
(84,(,39)
(84,d,137)
(84,n,41)
(84,R,139)
(85,(,39)
(85,d,137)
(85,n,41)
(85,G,140)
(85,R,43)
(86,(,39)
(86,d,137)
(86,n,41)
(86,G,141)
(86,R,43)
(87,=,142)
(88,),-13)
(88,`,-13)
(88,+,78)
(88,-,79)
(89,],143)
(90,#,-2)
(91,),144)
(91,+,125)
(91,-,126)
(92,p,145)
